period,start,end,series,n,H_hat,CI_90_lo,CI_90_hi,B,alpha_qv,FBM_cov_md,rf_factor
Period 1,2014-12-01,2016-02-11,H1 (stock: log_sp500),300,0.5476536459799258,0.4467842158464977,0.632886578646274,300,0.2,1,0.7
Period 1,2014-12-01,2016-02-11,H2 (vol: log_vix),300,0.5698722991883443,0.4771421164890272,0.6557001022866563,300,0.2,1,0.7
Period 1,2014-12-01,2016-02-11,H3 (rate: log_interest),300,0.39671481916446455,0.29038835326202717,0.47673771401863374,300,0.2,1,0.7
Period 2,2016-02-12,2020-02-19,H1 (stock: log_sp500),1004,0.46348231990385214,0.41313468389369584,0.5112789735867735,300,0.2,1,0.7
Period 2,2016-02-12,2020-02-19,H2 (vol: log_vix),1004,0.46776224763979396,0.4190007143618481,0.5150350290214685,300,0.2,1,0.7
Period 2,2016-02-12,2020-02-19,H3 (rate: log_interest),1004,0.5215134559101714,0.4774470631398302,0.571135089035996,300,0.2,1,0.7
Period 3,2020-02-20,2021-12-29,H1 (stock: log_sp500),466,0.407308046796169,0.34088822930808926,0.48422415471490565,300,0.2,1,0.7
Period 3,2020-02-20,2021-12-29,H2 (vol: log_vix),466,0.40038100694119727,0.33498461027822724,0.4754430721196106,300,0.2,1,0.7
Period 3,2020-02-20,2021-12-29,H3 (rate: log_interest),466,0.4750656306095914,0.3937971836440216,0.5399535820828512,300,0.2,1,0.7
Period 4,2021-12-30,2022-10-12,H1 (stock: log_sp500),197,0.5254020712565917,0.4054789409200863,0.6436413509433012,300,0.2,1,0.7
Period 4,2021-12-30,2022-10-12,H2 (vol: log_vix),197,0.4274522242822228,0.30944499121203056,0.5330076593500735,300,0.2,1,0.7
Period 4,2021-12-30,2022-10-12,H3 (rate: log_interest),197,0.43766685460858723,0.3250135712523688,0.5334669396541086,300,0.2,1,0.7
Period 5,2022-10-13,2025-12-31,H1 (stock: log_sp500),801,0.48902526704652866,0.4361062361348041,0.5343472836856938,300,0.2,1,0.7
Period 5,2022-10-13,2025-12-31,H2 (vol: log_vix),801,0.5045955858736072,0.4496183847776363,0.5538227523617228,300,0.2,1,0.7
Period 5,2022-10-13,2025-12-31,H3 (rate: log_interest),801,0.49395802724094834,0.43663487621294095,0.5480655343052544,300,0.2,1,0.7
